timestamp_ms,sample_number,imu,ax,ay,az,gx,gy,gz
29576,31,0x6B,8.203793,1.329213,-0.539581,0.870178,-0.790307,0.353233
29578,32,0x6A,0.336192,-9.176475,4.510471,-0.462272,-0.320399,-1.085966
29578,32,0x6B,8.181061,1.287339,-0.579063,0.899041,-0.799470,0.377820
29581,33,0x6A,0.342174,-9.200403,4.436294,-0.457996,-0.303447,-1.085660
29581,33,0x6B,8.213365,1.253839,-0.679562,0.932638,-0.806953,0.400575
29583,34,0x6A,0.305085,-9.255438,4.336991,-0.458302,-0.286190,-1.078483
29583,34,0x6B,8.201400,1.111466,-0.809970,0.975399,-0.815658,0.424857
29586,35,0x6A,0.345763,-9.304491,4.256832,-0.459982,-0.270155,-1.068556
29586,35,0x6B,8.244471,1.052842,-0.891326,1.015411,-0.818865,0.460287
29588,36,0x6A,0.348156,-9.410972,4.127619,-0.470366,-0.253814,-1.054506
29588,36,0x6B,8.240881,1.007378,-0.954736,1.061378,-0.828333,0.486249
29591,37,0x6A,0.329013,-9.477971,4.061816,-0.477544,-0.236405,-1.038318
29591,37,0x6B,8.279166,0.984646,-1.058824,1.095281,-0.829708,0.508698
29593,38,0x6A,0.308674,-9.646665,3.962514,-0.498771,-0.223424,-1.018618
29593,38,0x6B,8.293524,0.918844,-1.087538,1.127199,-0.832762,0.534507
29596,39,0x6A,0.232104,-9.751948,3.900301,-0.513738,-0.200975,-0.994336
29596,39,0x6B,8.346166,0.954736,-1.142573,1.164004,-0.834442,0.558484
29599,40,0x6A,0.154337,-9.893125,3.878766,-0.536951,-0.191201,-0.972345
29599,40,0x6B,8.342576,0.893719,-1.217947,1.200197,-0.833984,0.583071
29601,41,0x6A,0.096909,-10.054641,3.884748,-0.556651,-0.177151,-0.948674
29601,41,0x6B,8.432307,0.885344,-1.231107,1.239293,-0.838565,0.607200
29604,42,0x6A,0.064606,-10.169497,3.860819,-0.568563,-0.168446,-0.923476
29604,42,0x6B,8.429914,0.884148,-1.330409,1.277014,-0.840703,0.637591
29606,43,0x6A,-0.025125,-10.290334,3.938586,-0.572686,-0.160963,-0.901026
29606,43,0x6B,8.469396,1.000200,-1.337588,1.319927,-0.838565,0.663247
29609,44,0x6A,-0.069392,-10.491331,4.022335,-0.587041,-0.145080,-0.868650
