timestamp_ms,sample_number,imu,ax,ay,az,gx,gy,gz,temp
3762,0,0x6A,-0.094517,-0.466600,-9.662218,0.003512,-0.004581,-0.002443,22.86
3762,0,0x6B,-0.165105,0.035892,9.899107,0.003207,-0.000916,-0.010385,23.11
3812,1,0x6A,-0.050249,-0.489332,-9.659825,0.006261,-0.004429,-0.002902,22.84
3812,1,0x6B,-0.090927,0.052642,9.893125,0.007636,-0.001527,-0.010537,23.08
3862,2,0x6A,-0.096909,-0.484547,-9.680164,0.006872,-0.005192,-0.002443,22.85
3862,2,0x6B,-0.160319,0.052642,9.894321,0.007941,-0.001374,-0.010996,23.11
3912,3,0x6A,-0.041874,-0.478565,-9.669396,0.008399,-0.004581,-0.003512,22.80
3912,3,0x6B,-0.111266,0.075374,9.899107,0.008552,-0.001527,-0.010690,23.06
3962,4,0x6A,-0.334995,-1.202393,-9.615559,0.007941,-0.017715,-0.357662,22.83
3962,4,0x6B,-0.363709,1.198804,9.890733,0.014355,0.005651,0.428369,23.05
4012,5,0x6A,-0.041874,-0.660419,-9.699306,0.003818,-0.024587,-0.557109,22.88
4012,5,0x6B,-0.138784,0.616152,9.954143,0.011301,0.007789,0.544434,23.13
4062,6,0x6A,1.300499,-0.933201,-9.718450,0.003360,-0.035277,-0.843452,22.83
4062,6,0x6B,1.178465,0.577867,9.866805,0.012981,0.013744,0.833067,23.06
4112,7,0x6A,-1.015753,-0.717847,-9.664610,-0.000458,-0.027489,-0.674090,22.84
4112,7,0x6B,-1.222732,0.683151,9.826126,0.005803,0.008399,0.645379,23.07
4162,8,0x6A,1.548156,-1.576870,-9.779467,-0.003665,-0.043066,-1.084438,22.84
4162,8,0x6B,1.276571,3.002992,9.784252,0.011606,0.020311,1.127657,23.07
4212,9,0x6A,1.148555,-1.428515,-9.675379,-0.004123,-0.060781,-1.662470,22.84
4212,9,0x6B,1.137787,1.060021,10.055838,0.013744,0.023060,1.643227,23.09
4262,10,0x6A,-1.135394,-0.238086,-9.607183,0.003207,-0.061545,-1.553736,22.82
4262,10,0x6B,-1.645066,-1.044467,10.052249,0.027031,0.024282,1.496773,23.11
4312,11,0x6A,0.714258,-0.474975,-9.509077,-0.002902,-0.060476,-1.517695,22.82
4312,11,0x6B,0.841077,2.184647,9.823733,0.015577,0.029780,1.596496,23.07
4362,12,0x6A,0.632902,0.327817,-9.652646,0.005498,-0.082161,-2.058005,22.81
4362,12,0x6B,0.348156,-2.086541,10.110872,0.029322,0.038026,2.082745,23.09
4412,13,0x6A,-1.594816,0.574277,-9.728021,0.008858,-0.046731,-1.059393,22.83
4412,13,0x6B,-1.781457,-2.876173,9.985249,0.022755,0.023976,0.899805,23.11
4462,14,0x6A,-1.133002,-0.732204,-9.699306,0.015424,-0.025198,-0.285580,22.85
4462,14,0x6B,-0.996611,0.642473,9.980463,0.016035,0.011301,0.229838,23.10
4512,15,0x6A,1.008575,-0.293121,-9.505488,-0.011912,-0.005498,-0.143859,22.86
4512,15,0x6B,0.922433,-0.366102,9.689735,-0.014508,0.003971,0.132100,23.12
4562,16,0x6A,-2.361716,-2.358127,-9.676576,0.004581,-0.012675,-0.177915,22.87
4562,16,0x6B,-1.856830,1.826920,9.753145,0.002749,0.004734,0.214566,23.09
4612,17,0x6A,-1.463211,0.989432,-9.719646,0.004123,-0.010385,-0.184176,22.87
4612,17,0x6B,-1.530210,-2.086541,9.835698,0.007025,0.002291,0.165239,23.08
4662,18,0x6A,-0.065803,-0.546760,-9.687343,0.000458,-0.002749,-0.002902,22.86
4662,18,0x6B,-0.149551,0.160319,9.914661,-0.000305,-0.001527,-0.010537,23.10
4712,19,0x6A,-0.620938,-1.621137,-9.877572,-0.016035,0.006109,-0.189215,22.87
4712,19,0x6B,-0.434297,1.724029,10.899307,-0.044593,-0.021533,0.212581,23.09
4762,20,0x6A,0.945165,-0.534796,-9.985249,-0.033750,0.022907,-0.209527,22.83
4762,20,0x6B,1.226322,0.002393,8.419147,-0.038332,-0.022602,0.221286,23.12
4812,21,0x6A,0.453440,-0.186640,-9.970892,-0.082772,0.047647,0.146455,22.84
4812,21,0x6B,0.489332,-1.494318,10.727024,-0.068875,-0.029322,-0.076053,23.08
4862,22,0x6A,-0.512064,0.520439,-10.595419,-0.899499,-0.041997,0.295659,22.88
4862,22,0x6B,-0.382852,-0.717847,10.804790,-0.954782,0.043219,-0.289245,23.11
4912,23,0x6A,-1.124627,1.395016,-10.705488,-1.940413,-0.062461,0.380111,22.85
4912,23,0x6B,-1.162912,-2.167897,10.681561,-2.041512,0.077733,-0.413708,23.08
4962,24,0x6A,-1.359123,3.268596,-10.724632,-2.788753,-0.383776,0.447001,22.92
4962,24,0x6B,-1.424926,-3.920640,12.708282,-2.891073,0.404546,-0.431118,23.12
5012,25,0x6A,-0.924826,3.300899,-9.732806,-3.745673,-0.428064,0.434172,22.86
5012,25,0x6B,-1.015753,-3.915854,9.833304,-3.911675,0.473573,-0.431118,23.08
5062,26,0x6A,-1.342373,5.729614,-10.266405,-4.002694,-1.146289,0.753655,22.91
5062,26,0x6B,-1.739582,-6.681957,10.396814,-4.016133,1.109637,-0.769996,23.11
5112,27,0x6A,0.358923,5.260621,-7.523034,-4.952437,-1.012662,1.370018,22.90
5112,27,0x6B,0.113659,-8.263614,5.651847,-5.003597,0.999376,-1.332603,23.11
5162,28,0x6A,-2.240878,9.266206,-4.963911,-5.003597,-2.518750,2.246151,22.94
5162,28,0x6B,-3.693322,-10.339387,4.566702,-5.003597,2.679255,-2.181094,23.13
5212,29,0x6A,-2.595016,10.114462,-6.141179,-4.819880,-3.062878,1.145372,22.87
5212,29,0x6B,-3.610770,-8.840283,7.939385,-4.810258,3.047454,-1.081995,23.20
5262,30,0x6A,0.793221,7.709675,-1.978864,-0.743423,-1.992642,-0.498771,22.94
5262,30,0x6B,0.693919,-7.204789,2.620141,-0.224493,1.815797,0.522595,23.06
5312,31,0x6A,3.168097,6.635297,0.470190,-0.270919,-1.677589,0.049175,22.86
5312,31,0x6B,2.823531,-8.900104,-0.729811,-0.344223,1.677741,-0.102167,23.14
5362,32,0x6A,-0.437887,8.482555,1.200001,-0.623846,-1.269378,0.453567,22.90
5362,32,0x6B,-0.623330,-8.123632,0.410369,-0.671646,1.210735,-0.427148,23.16
5412,33,0x6A,0.659223,8.513663,-0.795614,-1.140180,-1.104750,0.134085,22.89
5412,33,0x6B,0.460618,-9.056834,1.609173,-1.138042,1.063516,-0.121562,23.17
5462,34,0x6A,0.320638,9.970892,-1.467997,-0.159130,-0.836733,0.095448,22.91
5462,34,0x6B,0.063410,-8.846266,2.988636,-0.013134,0.771523,-0.038332,23.27
5512,35,0x6A,-1.365105,10.881360,0.318245,1.938123,0.026878,-0.850630,22.91
5512,35,0x6B,-1.690529,-8.316256,0.940379,2.116190,-0.141263,0.978606,23.27
5562,36,0x6A,0.191426,10.297512,0.226122,2.881299,0.870025,-1.987450,22.91
5562,36,0x6B,-0.543171,-10.163515,2.008775,3.027601,-1.048856,2.017382,23.23
5612,37,0x6A,0.612563,8.874979,-2.682354,3.722613,0.843452,-2.021200,23.00
