timestamp_ms,sample_number,imu,ax,ay,az,gx,gy,gz
11209,0,0x6A,9.482756,-1.667797,1.716850,-0.098502,0.025045,-0.057116
11209,0,0x6B,9.662218,-0.208176,0.581456,-0.065515,0.026420,0.015882
11211,1,0x6A,9.461221,-1.667797,1.725225,-0.102320,0.029169,-0.061697
11211,1,0x6B,9.622736,-0.242872,0.600598,-0.067348,0.025809,0.013897
11214,2,0x6A,9.428918,-1.672583,1.692922,-0.105527,0.034056,-0.062003
11214,2,0x6B,9.650254,-0.230907,0.606581,-0.071624,0.027336,0.016035
11216,3,0x6A,9.455239,-1.667797,1.701297,-0.105069,0.035583,-0.059407
11216,3,0x6B,9.655040,-0.256032,0.611366,-0.072235,0.021991,0.017257
11219,4,0x6A,9.424131,-1.706082,1.704886,-0.107818,0.034819,-0.061087
11219,4,0x6B,9.619147,-0.263210,0.606581,-0.069333,0.026420,0.018479
11221,5,0x6A,9.418150,-1.726422,1.728814,-0.109192,0.036346,-0.059101
11221,5,0x6B,9.583255,-0.277567,0.616152,-0.070402,0.024435,0.018937
11224,6,0x6A,9.422935,-1.725225,1.704886,-0.107970,0.036041,-0.057574
11224,6,0x6B,9.580862,-0.312263,0.644866,-0.069180,0.022144,0.018631
11226,7,0x6A,9.394221,-1.746760,1.708475,-0.106443,0.039859,-0.054367
11226,7,0x6B,9.572487,-0.350549,0.668794,-0.062156,0.022602,0.018937
11229,8,0x6A,9.418150,-1.758725,1.698904,-0.107818,0.041844,-0.053451
11229,8,0x6B,9.611969,-0.323031,0.708275,-0.054520,0.025656,0.018021
11231,9,0x6A,9.387044,-1.749153,1.720440,-0.102320,0.049327,-0.052382
11231,9,0x6B,9.635897,-0.312263,0.698704,-0.045968,0.021533,0.016799
11234,10,0x6A,9.339188,-1.734797,1.740778,-0.096975,0.056047,-0.048869
11234,10,0x6B,9.638290,-0.277567,0.692722,-0.038790,0.024129,0.015882
11236,11,0x6A,9.275778,-1.743171,1.794617,-0.093157,0.063225,-0.045204
11236,11,0x6B,9.657433,-0.260818,0.720240,-0.031460,0.020617,0.013286
11239,12,0x6A,9.168099,-1.727618,1.792224,-0.084758,0.069180,-0.047189
11239,12,0x6B,9.661021,-0.208176,0.745364,-0.022144,0.020159,0.013439
11241,13,0x6A,9.186046,-1.695315,1.804188,-0.080481,0.073457,-0.040928
11241,13,0x6B,9.643075,-0.189033,0.808774,-0.017410,0.017104,0.015424
11244,14,0x6A,9.170493,-1.645066,1.805385,-0.077122,0.073609,-0.039095
11244,14,0x6B,9.657433,-0.173480,0.824327,-0.013897,0.024435,0.014813
11246,15,0x6A,9.209974,-1.609173,1.767099,-0.077427,0.072082,-0.036041
11246,15,0x6B,9.661021,-0.151944,0.855434,-0.007330,0.024435,0.015730
11249,16,0x6A,9.231510,-1.609173,1.734797,-0.080481,0.067501,-0.040164
11249,16,0x6B,9.690931,-0.165105,0.888934,-0.002443,0.024587,0.017410
