time,ax_A,ay_A,az_A,gx_A,gy_A,gz_A,temp_A,ax_B,ay_B,az_B,gx_B,gy_B,gz_B,temp_B
1776658320.154905,2.2481,1.87,-1.8939,1.4603,1.575,-3.4193,24.75,1.4512,-3.8752,1.1833,1.4565,-1.5689,3.3526,24.61
1776658320.209726,0.4786,3.5426,1.3555,0.602,1.3816,-3.2382,24.71,-1.0181,-1.2742,0.4247,0.6917,-1.3224,3.1066,24.61
1776658320.266007,8.1775,2.3282,-0.1902,-0.2857,1.6693,-3.5765,24.7,6.5468,-4.6899,-0.1878,-0.1749,-1.7211,3.6492,24.64
1776658320.322328,9.5689,3.7914,-1.2562,0.4279,2.3182,-3.4059,24.65,8.5208,-3.5856,1.6893,0.5855,-2.4036,3.425,24.64
1776658320.3757017,13.2503,0.5145,-3.4612,-0.4676,1.7095,-2.7303,24.68,11.9988,-1.4788,1.2814,-0.5405,-1.5154,2.6056,24.58
1776658320.431372,12.9715,0.9416,-5.0166,-0.5302,-0.3071,-2.8456,24.69,12.7645,-1.3316,2.936,-0.5136,0.4597,2.8205,24.62
1776658320.4827166,11.1039,0.1113,-2.9755,-1.1471,0.0081,-1.8561,24.68,10.7151,-0.548,5.0704,-1.1299,-0.0182,1.8451,24.63
1776658320.5390255,12.7442,0.3984,-6.5958,-1.7048,-0.4296,-1.8634,24.7,12.4403,-1.3172,4.2114,-1.7084,0.412,1.8483,24.62
1776658320.5956514,12.9332,-0.4881,-10.2927,-1.2512,-0.6103,-0.7928,24.71,12.6951,-2.0901,11.342,-1.2074,0.5841,0.7509,24.61
1776658320.6479094,12.0718,1.8772,-10.7294,-1.0232,-0.5017,-0.3172,24.7,12.0802,-2.7099,8.8379,-1.0492,0.5365,0.2998,24.63
1776658320.703918,10.8084,2.8128,-9.0664,-0.6993,-1.879,0.015,24.7,10.2401,-3.4959,10.2413,-0.7045,1.8783,-0.0509,24.59
1776658320.7587636,11.884,3.8524,-10.3322,-0.1341,-1.741,0.4091,24.71,11.3408,-5.6985,8.723,-0.057,1.8062,-0.4866,24.62
1776658320.8146794,10.1216,2.8199,-2.6273,0.0788,-2.8917,1.0394,24.7,8.8558,-5.0166,2.0052,-0.1571,2.9267,-1.1452,24.6
1776658320.8695164,4.5571,5.324,-3.7615,-1.7955,-3.1186,1.5464,24.69,3.3057,-4.995,4.465,-1.9067,3.1269,-1.4853,24.66
1776658320.9207535,3.6036,3.7412,-4.7486,-1.6113,-2.4936,1.9088,24.68,2.7876,-5.854,7.188,-1.691,2.558,-1.8557,24.63
1776658320.9761605,-2.869,5.3779,-8.2205,-0.7621,-1.9616,1.6568,24.69,-3.5091,-3.4875,8.1799,-0.8302,1.9633,-1.7173,24.6
1776658321.0351198,-3.5988,4.5105,-8.6764,-1.098,-1.4899,1.102,24.7,-3.9577,-5.4664,13.5793,-1.148,1.5464,-1.1043,24.62
