time,ax_A,ay_A,az_A,gx_A,gy_A,gz_A,temp_A,ax_B,ay_B,az_B,gx_B,gy_B,gz_B,temp_B
1776658318.7230856,0.2728,3.4002,-9.4804,-0.0704,-0.1232,-0.0377,24.74,0.3733,-3.1167,9.5258,-0.0493,0.1156,0.0791,24.62
1776658318.775547,1.0839,2.8379,-8.9623,-0.1633,-0.2341,-0.155,24.7,0.993,-3.1884,9.2243,-0.1694,0.2285,0.1393,24.64
1776658318.8308594,0.6784,3.015,-9.4935,-0.3786,-0.2486,-0.0576,24.75,0.5539,-3.5462,9.7543,-0.3731,0.2434,0.0412,24.62
1776658318.885765,0.609,2.9838,-9.064,-0.0231,-0.1527,-0.087,24.7,0.5408,-3.4289,9.4576,-0.0299,0.1422,0.0686,24.68
1776658318.9407914,0.0431,3.2004,-9.1167,-0.0234,-0.0217,0.0376,24.73,-0.0766,-3.2004,9.2375,-0.0191,0.0189,-0.0454,24.63
1776658318.9958384,0.6018,3.0449,-8.9671,-0.1387,-0.1527,-0.0397,24.7,0.5216,-3.7424,9.1825,-0.1268,0.1413,0.009,24.66
1776658319.0509849,-0.3254,3.8477,-9.2351,-0.0796,-0.106,0.0782,24.72,-0.3458,-3.594,9.6742,-0.108,0.1122,-0.1104,24.64
1776658319.1056006,0.2321,3.3033,-9.0245,0.0136,-0.0854,-0.1361,24.72,0.2285,-3.8321,9.1214,0.0041,0.0915,0.1086,24.62
1776658319.1609037,-0.0598,3.4409,-8.8522,-0.0619,-0.0466,-0.0084,24.72,-0.2177,-3.5306,9.2818,-0.0539,0.0273,0.0008,24.61
1776658319.216826,0.6006,3.1131,-8.9145,-0.0166,-0.0408,-0.1393,24.75,0.7143,-3.7723,8.7051,-0.0252,0.0553,0.0959,24.62
1776658319.271434,0.7238,2.991,-8.3151,-0.2844,-0.3777,0.1784,24.7,0.6508,-3.2925,8.0447,-0.286,0.3684,-0.1907,24.67
1776658319.3295045,0.9081,3.0867,-8.1296,-0.6497,-0.6393,0.2317,24.7,0.7992,-3.6969,8.0554,-0.6593,0.6344,-0.2433,24.66
1776658319.3852265,0.3039,3.7005,-8.1212,-0.8352,-0.8709,0.6901,24.72,0.0873,-4.1539,8.3079,-0.8549,0.8709,-0.7026,24.64
1776658319.438007,0.5791,3.722,-8.3797,-1.0718,-1.016,0.8836,24.76,0.3278,-4.8885,8.7218,-1.1034,1.0172,-0.9085,24.68
1776658319.4918706,-0.0646,4.8957,-10.1372,-1.0343,-1.0687,1.2123,24.75,-0.2931,-5.0225,9.4768,-1.0365,1.0904,-1.2207,24.66
1776658319.545706,-0.5384,5.8828,-9.3547,-0.8027,-1.5728,1.2764,24.71,-1.1234,-6.201,9.868,-0.8418,1.5774,-1.2868,24.64
1776658319.601174,-1.1665,6.4822,-10.6744,-0.2896,-1.2914,1.1613,24.72,-1.3388,-6.7597,11.3276,-0.2552,1.2788,-1.1657,24.67
1776658319.6559384,-1.0863,7.1725,-11.464,0.3531,-1.2149,1.4531,24.73,-1.9083,-7.3723,11.9545,0.3381,1.2245,-1.4627,24.65
1776658319.713689,-3.8548,8.9635,-14.9731,1.5429,-0.8099,1.4001,24.73,-5.0979,-9.5701,15.6431,1.4062,0.7726,-1.4606,24.65
1776658319.7653031,-9.9733,10.3693,-13.3113,3.3642,-0.0773,0.4386,24.73,-10.1898,-8.0303,15.3428,3.2726,0.1316,-0.5351,24.64
1776658319.8211339,-7.7288,7.675,-9.6933,3.6954,0.3279,-0.2883,24.73,-7.8556,-6.9392,10.794,3.7147,-0.317,0.2494,24.68
1776658319.878146,-5.6865,5.9605,-10.4016,3.4557,-0.0869,-1.1292,24.74,-5.8445,-5.5968,8.4443,3.41,0.0612,1.1,24.69
1776658319.9371576,-6.4965,5.4042,-7.0146,2.5061,-0.701,-1.4134,24.73,-7.2431,-3.466,8.7673,2.3596,0.5696,1.5754,24.64
1776658319.9901247,-3.6993,3.2638,-6.4857,2.5765,-0.4302,-1.7769,24.73,-4.1192,-4.7629,7.8006,2.593,0.4049,1.7396,24.65
1776658320.0416703,-4.6158,4.8347,-5.3623,1.7484,0.2546,-2.2744,24.7,-4.9304,-2.4778,5.1996,1.7248,-0.2691,2.3083,24.62
1776658320.0980206,-1.1785,2.8187,-4.1635,1.3309,0.0484,-2.4448,24.75,-2.1942,-3.1214,7.2311,1.3714,-0.142,2.406,24.62
