time,ax_A,ay_A,az_A,gx_A,gy_A,gz_A,temp_A,ax_B,ay_B,az_B,gx_B,gy_B,gz_B,temp_B
1776658736.8139071,1.4297,-3.5115,-8.735,0.0797,0.1182,0.0554,24.66,1.3484,3.4337,9.3799,0.0832,-0.1538,-0.0776,24.64
1776658736.867985,3.4193,-3.4576,-9.4241,0.2236,0.1106,-0.0368,24.59,3.2064,2.9635,9.2112,0.219,-0.1324,0.0206,24.68
1776658736.923584,4.1252,-4.855,-8.4873,0.0012,-0.0447,0.1411,24.55,3.9996,3.7304,9.2088,0.0111,0.0501,-0.1393,24.68
1776658736.9783437,4.7797,-4.2162,-10.2257,0.0527,0.3787,0.8115,24.61,4.6122,2.5783,11.19,0.0371,-0.3633,-0.8068,24.73
1776658737.033266,4.2497,-3.1071,-9.7795,0.3821,0.4213,1.0741,24.59,4.1384,2.613,9.149,0.3714,-0.3644,-1.0942,24.7
1776658737.0883749,3.9876,-3.1693,-8.4778,0.2414,0.2398,1.4807,24.64,3.4744,2.1141,7.742,0.235,-0.2279,-1.4946,24.68
1776658737.1435516,2.8152,-2.942,-7.6929,-0.0035,-0.121,1.8024,24.58,2.4263,1.8843,7.3938,-0.0228,0.1374,-1.8222,24.68
1776658737.1985817,1.5793,-3.2782,-7.346,-0.7921,-0.661,2.4835,24.6,0.7358,1.3424,7.4022,-0.8427,0.69,-2.5249,24.64
1776658737.2538116,-1.3615,-1.602,-8.0423,-0.6597,-0.6816,2.9444,24.58,-2.3821,0.8806,8.0267,-0.6881,0.7075,-2.9604,24.67
1776658737.308683,-3.2614,-0.7657,-7.2263,-0.9308,-0.6565,3.0542,24.57,-4.4806,0.8387,8.7805,-0.998,0.6526,-3.0439,24.66
1776658737.3636966,-3.6383,-0.3781,-9.3727,-0.6174,-0.3374,2.6701,24.6,-4.5619,0.6867,9.5785,-0.6574,0.3493,-2.715,24.71
1776658737.4185045,-3.478,-0.7848,-10.1384,-0.6959,-0.8905,2.5789,24.62,-4.3131,0.7358,9.1322,-0.7369,0.9797,-2.5478,24.7
1776658737.474139,-7.9107,2.4299,-9.7759,0.4624,-2.3318,1.523,24.61,-7.6953,1.9645,12.9296,0.648,2.0259,-1.2761,24.68
1776658737.5321484,-5.0249,-3.4134,-6.9057,0.411,-0.2579,2.1744,24.6,-6.3577,1.6475,8.6106,0.3438,0.1623,-2.3476,24.69
1776658737.5885906,-9.0963,-0.3266,-10.4614,-0.1976,0.1278,2.1102,24.57,-9.5557,1.4261,10.9196,-0.2007,-0.1093,-2.1402,24.67
1776658737.638943,-13.0217,4.1874,-16.5236,1.1448,1.2584,1.4626,24.52,-13.4776,-1.614,17.0142,1.1464,-1.2376,-1.4861,24.67
1776658737.6941469,-15.8106,8.4909,-18.7992,3.0146,-0.6437,-1.2495,24.57,-16.0774,-3.3153,14.1189,3.0213,0.6622,1.2585,24.72
1776658737.7531476,-12.6688,3.4205,-8.2253,3.3465,-1.1608,-2.76,24.59,-13.5625,-1.7121,12.6102,3.3492,1.0768,2.7582,24.66
1776658737.8102498,-10.6158,6.1101,-7.9214,2.688,-0.2543,-4.4697,24.6,-12.5456,-3.4385,9.2459,2.6657,0.2233,4.1606,24.66
1776658737.8591342,-7.2024,8.3952,-6.719,3.2347,-0.0429,-5.0036,24.66,-10.1384,-6.2177,8.3521,3.3404,-0.0136,5.0036,24.68
1776658737.9134054,-3.4576,10.3884,-1.273,3.6139,-0.1329,-5.0036,24.68,-7.8102,-7.4943,3.1801,3.6015,0.087,5.0036,24.71
1776658737.96859,7.8449,8.333,0.3565,2.8274,-0.1895,-5.0036,24.68,2.7386,-10.9986,0.475,2.7663,0.1848,5.0036,24.66
1776658738.0257344,6.816,10.325,-0.7884,1.4794,-1.5441,-5.0036,24.64,3.411,-9.6873,3.3021,1.3894,1.4632,5.0036,24.71
1776658738.0819976,14.8953,5.3958,-2.9001,1.1988,-1.0264,-5.0036,24.63,11.7296,-9.3069,2.7745,1.2769,0.95,5.0036,24.68
1776658738.1343355,17.4066,4.8921,-6.1376,0.5383,-3.0899,-4.6352,24.64,14.4156,-6.134,4.0307,0.5541,2.9616,4.6217,24.74
1776658738.1910744,15.0221,4.9149,-6.2261,-0.3822,-2.3582,-2.5256,24.68,13.9346,-7.005,7.3831,-0.3775,2.3376,2.5307,24.72
