time,ax_A,ay_A,az_A,gx_A,gy_A,gz_A,temp_A,ax_B,ay_B,az_B,gx_B,gy_B,gz_B,temp_B
1776658911.5965955,-0.719,-4.2497,-8.4395,-0.3503,0.2182,-0.0557,24.79,-0.8148,4.118,9.6981,-0.3386,-0.2669,0.0476,24.76
1776658911.652179,0.1412,-4.2185,-9.667,-0.2595,0.5076,-0.1254,24.82,0.0311,3.454,9.35,-0.2023,-0.4933,0.0919,24.86
1776658911.7077284,0.0167,-3.8393,-9.1274,0.1348,0.1645,0.1263,24.83,-0.0718,3.4804,9.0532,0.1428,-0.1788,-0.146,24.87
1776658911.7662444,0.2704,-4.0343,-9.2351,0.018,-0.0134,0.036,24.84,0.1783,3.935,9.387,0.0231,0.0066,-0.0568,24.78
1776658911.8188834,0.1005,-3.8776,-8.9372,-0.1064,-0.057,0.0099,24.89,0.0084,3.5246,9.1657,-0.1092,0.0513,-0.0246,24.88
1776658911.8778713,0.0981,-3.9733,-9.2495,-0.0053,-0.0403,0.0362,24.88,0.0084,3.6144,9.5186,-0.009,0.037,-0.0512,24.86
1776658911.9327788,0.0191,-3.8034,-8.7398,-0.0886,-0.0209,0.0018,24.88,0.0287,3.4038,8.8714,-0.087,0.0287,-0.022,24.83
1776658911.9846766,0.0742,-3.7735,-8.9276,-0.0709,0.0073,0.0044,24.89,-0.0203,3.4361,9.1837,-0.0738,-0.0127,-0.0189,24.91
1776658912.0417523,0.0802,-3.7161,-9.0293,-0.1726,0.014,-0.0217,24.86,0.0203,3.3631,9.2219,-0.1704,-0.0174,0.0076,24.9
1776658912.0959473,0.0622,-3.588,-8.6776,-0.0652,0.0073,0.0009,24.86,-0.0108,3.2782,8.9276,-0.0802,-0.0163,-0.0125,24.85
1776658912.1504977,0.0694,-3.7125,-8.6812,-0.272,0.0449,-0.0092,24.86,-0.0191,3.3703,9.2136,-0.2685,-0.0609,-0.0038,24.86
1776658912.201483,0.1172,-3.3535,-9.076,-0.0411,0.0889,0.033,24.87,0.0837,2.6596,9.0832,-0.0513,-0.0826,-0.0344,24.86
