time,ax_A,ay_A,az_A,gx_A,gy_A,gz_A,temp_A,ax_B,ay_B,az_B,gx_B,gy_B,gz_B,temp_B
1776658655.9971313,-0.1519,-4.0869,-23.2487,-2.4867,-0.6141,-0.1967,24.83,-0.6855,4.4363,23.2319,-2.6742,0.7269,0.2431,24.82
1776658656.056658,-0.8148,-6.5647,-29.7559,-0.5049,0.1098,-0.1087,24.81,-1.0648,5.5131,30.5611,-0.23,-0.1793,0.0593,24.8
1776658656.1068392,-1.3699,-5.1482,-23.1207,1.0153,0.4325,0.037,24.83,-1.6175,4.8084,24.402,1.0021,-0.4145,-0.0541,24.85
1776658656.1590717,-0.2405,-0.5348,-21.3045,2.4407,0.5205,0.0738,24.81,-0.3685,0.0622,22.069,2.3509,-0.5162,-0.0919,24.8
1776658656.2147837,-0.9392,0.6508,-13.7946,2.8628,0.4572,0.0441,24.78,-1.0528,-1.4213,14.4682,2.8446,-0.4476,-0.0606,24.8
1776658656.2723563,-0.9464,0.7011,-10.9352,3.0606,0.2581,0.0134,24.86,-0.7418,-0.8136,9.9159,3.0539,-0.1797,0.0018,24.81
1776658656.3274095,-1.0648,-0.6138,-4.8981,2.912,0.6348,-0.073,24.82,-1.194,0.2572,5.5896,2.9173,-0.6359,0.0519,24.79
1776658656.3806221,-0.2907,-0.3601,-5.1242,2.1852,0.5371,-0.1142,24.74,-0.3326,0.7573,5.4221,2.1707,-0.5383,0.1054,24.8
1776658656.4361193,-0.518,-1.3448,-3.4337,1.7656,0.3826,-0.292,24.75,-0.6473,0.5779,3.411,1.7898,-0.3821,0.2662,24.76
1776658656.4935372,0.8662,-3.0138,0.0024,1.2335,-0.2065,-0.2399,24.78,0.8339,2.5364,-0.5503,1.1836,0.2309,0.21,24.79
1776658656.54737,0.1807,-3.8177,0.8387,0.7804,-0.0478,-0.046,24.82,0.0909,3.259,-0.6879,0.7947,0.0854,0.013,24.74
1776658656.5997505,0.9595,-3.9781,1.9872,0.0817,-0.4924,-0.1106,24.79,0.7478,3.9302,-2.8331,0.124,0.4271,0.0843,24.76
1776658656.6545272,0.3099,-3.6347,4.1958,-0.5489,-0.2191,-0.0756,24.79,0.1232,3.7041,-3.7675,-0.6851,0.1848,0.0612,24.8
1776658656.7100549,-0.7848,-3.4014,2.3952,-1.4774,-0.4859,-0.1877,24.78,-0.8124,2.7984,-1.1904,-1.5861,0.4374,0.1804,24.79
1776658656.7671397,0.3266,-1.1916,-0.9631,-2.1525,-0.3905,-0.1979,24.81,0.2895,0.6054,1.4417,-2.2593,0.3905,0.1549,24.77
1776658656.8241568,-0.4223,-0.6317,-4.9089,-2.5354,-0.6936,0.1604,24.77,-0.4259,-0.1472,4.1133,-2.5371,0.6713,-0.1602,24.75
1776658656.8792973,0.0359,1.6128,-12.0012,-3.3124,-0.1164,0.2149,24.79,-0.1184,-1.5649,13.7587,-3.3147,0.1118,-0.2199,24.79
1776658656.932179,-0.3075,1.7372,-16.0929,-3.0688,0.2068,0.2176,24.82,-0.3482,-2.2062,15.8572,-3.053,-0.2129,-0.2251,24.83
1776658656.9898875,1.9334,-1.7013,-18.0108,-2.4274,-0.1109,0.1623,24.77,1.7252,1.4022,18.061,-2.4137,0.1124,-0.1715,24.72
1776658657.0410979,1.0158,-3.0556,-23.2116,-1.689,-0.1984,0.113,24.79,1.0947,1.8772,23.5549,-1.6759,0.1768,-0.1281,24.79
1776658657.095124,1.6618,-4.2855,-22.4399,-0.3392,0.0095,0.2818,24.8,1.535,3.7041,22.3573,-0.2682,0.0055,-0.2954,24.77
1776658657.1493735,2.2684,-3.1597,-21.5892,0.8351,0.0493,0.4649,24.78,2.1595,1.8604,21.5892,0.9244,-0.0275,-0.5119,24.77
1776658657.2048907,2.2923,-0.1364,-18.4834,1.9265,-0.0014,0.7805,24.77,2.0674,-0.3577,18.816,1.9849,-0.0082,-0.8041,24.82
1776658657.2609067,1.6295,0.8578,-13.5757,2.8271,-0.1388,0.8011,24.82,1.2646,-1.0469,12.6437,2.7927,0.1292,-0.8062,24.75
1776658657.321908,0.1998,0.5874,-8.3007,2.7558,0.1619,0.7576,24.76,0.1711,-0.9428,10.0367,2.7767,-0.11,-0.7769,24.77
1776658657.373681,-0.7884,-0.317,-5.7069,2.4201,0.5102,0.6852,24.8,-0.9188,-0.0634,5.8098,2.4251,-0.5003,-0.7037,24.78
1776658657.4249454,-2.0889,-0.8387,-3.7208,2.1136,0.9468,0.5516,24.81,-2.3737,0.7813,5.4628,2.0751,-1.082,-0.5742,24.77
