time,ax_A,ay_A,az_A,gx_A,gy_A,gz_A,temp_A,ax_B,ay_B,az_B,gx_B,gy_B,gz_B,temp_B
1776658655.119264,-2.784,-3.8931,-10.6409,-1.027,0.2616,0.0444,24.89,-3.5258,3.9745,13.1725,-1.0285,-0.2683,-0.0567,24.92
1776658655.1690614,-2.9336,-4.9472,-13.5087,0.407,0.4414,-0.2512,24.81,-3.1119,5.0871,13.1976,0.423,-0.4404,0.2396,24.87
1776658655.2452743,-4.3035,-6.9368,-16.526,0.3143,0.055,-0.4528,24.84,-4.4662,7.2359,17.458,0.314,-0.0735,0.4528,24.89
1776658655.2794287,-4.3992,-6.6951,-21.9494,0.9855,0.3684,-0.706,24.84,-4.6564,5.9773,23.123,1.0683,-0.3935,0.6888,24.87
1776658655.3347278,-2.9539,-2.5244,-19.4955,2.5607,0.4345,-0.6787,24.81,-2.8989,1.6104,18.3529,2.6412,-0.3958,0.6527,24.86
1776658655.3912168,-3.2387,1.1306,-11.5717,3.1887,-0.2097,-0.5547,24.8,-3.3547,-1.1665,12.3745,3.1547,0.1701,0.5385,24.87
1776658655.4486485,-2.2624,0.6461,-2.4024,2.2544,-0.1845,-0.5921,24.84,-2.3785,-0.3039,2.7027,2.0963,0.181,0.6055,24.86
1776658655.501436,-1.2335,-0.2668,-0.5659,1.2498,-0.7333,-0.8308,24.82,-1.3807,0.0407,0.4032,1.2579,0.7651,0.8134,24.85
1776658655.5564063,-0.5408,0.2812,1.2502,0.7143,-0.3647,-0.7391,24.84,-0.0646,-0.1172,-1.3735,0.646,0.3477,0.7205,24.79
1776658655.6134474,-0.6951,-0.7705,3.661,0.0397,-0.7854,-0.8263,24.83,-0.8255,1.0504,-4.0211,0.0774,0.7647,0.8019,24.8
1776658655.6698194,2.2337,0.0491,2.272,-0.0907,-1.0062,-0.9727,24.85,2.0351,-0.8016,-1.8652,-0.1179,0.9844,0.9583,24.83
1776658655.7215152,-0.4199,-0.3637,2.7206,-1.292,-0.5692,-0.795,24.84,-0.518,-0.6329,-2.5292,-1.3025,0.5533,0.7801,24.87
1776658655.7778473,0.3386,1.6391,-1.066,-1.9952,-0.6593,-0.569,24.86,0.2154,-1.9884,0.853,-2.045,0.6495,0.5599,24.84
1776658655.8305645,0.207,1.4704,-6.6066,-3.0533,-0.1471,-0.1808,24.76,0.0694,-2.6871,8.4491,-3.0719,0.0977,0.1468,24.82
1776658655.8898969,0.341,1.3854,-9.9039,-2.6745,0.1901,-0.0232,24.84,0.664,-1.4536,7.3723,-2.7617,-0.1419,0.0244,24.83
1776658655.9455228,0.2656,-0.3218,-21.8836,-3.7689,-0.463,-0.2129,24.83,-0.262,-0.3039,23.939,-3.5675,0.4137,0.2138,24.81
