time,ax_A,ay_A,az_A,gx_A,gy_A,gz_A,temp_A,ax_B,ay_B,az_B,gx_B,gy_B,gz_B,temp_B
1776658540.8219578,0.5874,-1.3735,-14.2624,0.1843,0.0336,0.1744,24.79,0.2955,2.6501,13.6977,0.1819,-0.0186,-0.1796,24.82
1776658540.8700674,-7.2419,-2.6919,-16.8024,1.7567,1.5921,-1.1209,24.77,-8.6357,3.8154,26.0172,1.7681,-1.7648,1.1464,24.79
1776658540.9252257,-17.3886,3.9637,-30.676,4.7415,5.0036,-2.7072,24.73,-21.527,-1.7264,26.6776,4.9356,-5.0036,2.8587,24.82
1776658540.980802,-14.2193,17.1541,-22.6002,5.0036,2.4711,-5.0036,24.68,-16.9352,-13.8126,19.1342,5.0036,-2.23,5.0036,24.81
1776658541.0351768,11.9689,24.1508,-0.0538,5.0036,1.0951,-5.0036,24.73,7.2287,-32.4802,9.947,5.0036,-1.0508,5.0036,24.82
1776658541.090382,9.7424,24.6628,-2.8929,5.0036,-0.9754,-4.7773,24.71,7.4285,-19.8377,-3.2961,5.0036,1.4381,4.884,24.76
1776658541.145915,16.4255,11.75,6.944,4.9976,-2.0149,-2.9082,24.72,14.3809,-16.9113,-4.9376,4.8052,1.7486,2.2811,24.7
