time,ax_A,ay_A,az_A,gx_A,gy_A,gz_A,temp_A,ax_B,ay_B,az_B,gx_B,gy_B,gz_B,temp_B
1776658502.9616628,-0.9811,6.4558,-7.3843,-0.3314,-0.1246,0.0334,24.65,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1776658503.0148237,-0.5994,6.5515,-8.4168,0.1471,0.1318,0.1092,24.73,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1776658503.0700567,-1.1844,7.3448,-13.1952,-0.821,-0.7098,-0.1619,24.73,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1776658503.1251254,-1.0325,7.6307,-10.7103,-0.1222,-1.1458,-0.0463,24.76,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1776658503.1801293,-4.0379,10.9053,-8.3665,0.777,-0.686,0.2978,24.69,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1776658503.2355602,-6.6377,12.4367,-7.8772,1.4041,-0.4562,0.4203,24.7,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1776658503.2918057,-6.3338,9.5426,-11.4963,1.887,-0.0003,0.2246,24.69,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1776658503.3468225,-7.73,6.4104,-7.2335,3.3668,0.3928,0.7488,24.69,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1776658503.400848,-12.0479,11.9163,-7.5003,3.3675,1.356,0.7921,24.68,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1776658503.4563067,-3.9338,3.6179,-5.0118,1.675,1.1429,0.3337,24.73,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1776658503.511498,-3.9075,4.6947,3.5139,3.0693,0.272,0.6393,24.68,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1776658503.5693913,-0.0287,3.6203,1.1414,0.0344,0.3112,-0.0854,24.65,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1776658503.6253457,-0.7872,3.3416,3.661,0.6932,0.1258,-0.5252,24.66,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1776658503.677824,3.1537,1.2479,-1.1665,-0.5128,0.5889,-2.2684,24.66,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1776658503.73231,4.6672,-1.4536,-1.3747,-0.4611,0.6626,-1.5663,24.69,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1776658503.7891102,8.3689,-0.4068,-9.7998,-0.462,2.1072,-1.7535,24.65,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1776658503.8431034,11.1027,-2.2193,-7.6379,-2.2145,0.9135,-1.855,24.68,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1776658503.8988895,11.1458,-0.5121,-15.3906,0.0258,1.4007,-1.0165,24.64,0.0,0.0,0.0,0.0,0.0,0.0,25.0
