time,ax_A,ay_A,az_A,gx_A,gy_A,gz_A,temp_A,ax_B,ay_B,az_B,gx_B,gy_B,gz_B,temp_B
1776658866.474447,-7.2993,-3.253,-8.8331,-0.1698,-0.5278,0.2483,24.91,-7.2933,3.0437,8.6046,-0.1516,0.5104,-0.2358,24.86
1776658866.5224507,-7.7527,-4.0786,-5.9928,-0.1072,-0.3274,0.014,24.83,-7.7599,4.5739,7.4465,-0.0713,0.3743,-0.0655,24.87
1776658866.5781026,-10.672,-4.6828,-8.3749,-0.2784,0.2511,-0.6452,24.85,-10.55,5.4138,9.052,-0.2086,-0.2408,0.5825,24.85
1776658866.6340513,-11.6064,-6.2285,-8.6213,-0.3523,0.8719,-1.4881,24.87,-12.5288,8.3976,9.1549,-0.3041,-0.9869,1.611,24.87
1776658866.6910892,-12.9918,-6.0335,-8.5627,-0.3812,1.6713,-3.1243,24.86,-13.7994,7.4201,9.7328,-0.4064,-1.7214,3.3197,24.87
1776658866.744688,-10.0343,-4.1049,-10.855,-0.2376,2.7377,-4.1084,24.86,-12.5396,4.1456,12.4271,-0.1715,-2.7478,4.0797,24.85
1776658866.7980423,-7.7264,-0.615,-9.6048,0.9953,2.8811,-4.8304,24.84,-10.7677,2.6967,6.792,1.0701,-2.9209,4.8045,24.89
1776658866.8529868,-4.8694,-0.9296,-11.2953,0.9632,1.7836,-4.6539,24.84,-7.261,-1.3196,14.2325,1.0818,-1.847,4.6166,24.86
1776658866.9082465,-3.9434,4.611,-6.2524,2.7179,1.0608,-4.332,24.91,-5.6076,-4.3645,5.5143,2.6907,-1.0653,4.3266,24.87
1776658866.9665158,0.0395,5.6064,-1.267,1.3456,1.9071,-3.775,24.82,-1.2598,-8.065,5.3695,1.3522,-1.6597,3.698,24.91
1776658867.022342,7.5936,5.6937,-0.6784,2.0769,2.4433,-3.0175,24.84,6.7011,-5.738,-1.2622,2.1968,-2.4012,3.0018,24.9
1776658867.0730202,13.6152,2.7063,-1.0516,0.0338,0.5261,-3.3256,24.81,12.8124,-4.599,-0.2321,-0.0753,-0.4163,3.2388,24.8
1776658867.1278417,24.3482,-1.4094,1.3316,2.2646,1.6185,-0.0067,24.72,21.7244,-1.6893,-6.1125,1.9018,-1.3922,-0.2466,24.84
