time,ax_A,ay_A,az_A,gx_A,gy_A,gz_A,temp_A,ax_B,ay_B,az_B,gx_B,gy_B,gz_B,temp_B
1776658891.2823853,3.8907,-0.6808,-8.5173,0.4965,0.2301,-1.3856,24.85,3.6467,0.1292,8.6788,0.4866,-0.2289,1.3642,24.88
1776658891.3321886,4.5523,-1.0253,-7.919,0.6298,0.2876,-1.1243,24.87,4.2975,-0.0239,8.6501,0.6584,-0.2865,1.1394,24.91
1776658891.3883264,4.9304,-1.0983,-8.1332,0.1599,0.1452,-0.785,24.83,4.6828,0.0909,7.8939,0.1448,-0.113,0.7252,24.86
1776658891.4463363,3.7196,-0.1854,-8.2457,-0.0093,0.0996,-0.5336,24.93,3.5653,-0.0132,9.052,-0.0255,-0.1347,0.5223,24.87
1776658891.498778,3.5797,0.5743,-9.1226,-0.1252,0.2063,-0.6497,24.94,3.411,-0.4092,9.131,-0.1087,-0.1998,0.6663,24.86
1776658891.5530226,4.1647,0.5264,-10.0594,0.3487,0.3822,-0.9279,24.9,4.0092,-1.0732,10.745,0.33,-0.3893,0.9149,24.89
1776658891.6063323,3.6802,0.67,-8.2385,0.2384,-0.0556,-1.1153,24.93,3.5007,-0.1675,7.7755,0.255,0.0328,1.0918,24.9
1776658891.6631658,3.4038,0.9966,-7.5757,-0.0353,0.3137,-1.6095,24.92,3.0197,-1.0995,10.1791,-0.0179,-0.334,1.5933,24.89
1776658891.7173085,4.7282,0.9787,-8.4287,0.1799,0.8282,-1.6118,24.91,4.3753,-1.066,7.3627,0.1961,-0.8328,1.5954,24.85
1776658891.7722104,4.4255,1.6905,-8.8654,-0.102,0.3265,-1.9012,24.92,4.2377,-2.0327,9.3117,-0.0825,-0.3497,1.9326,24.86
1776658891.8268251,5.0489,1.6714,-9.3296,0.219,0.2836,-1.8807,24.93,4.5918,-2.1153,9.7352,0.2728,-0.3027,1.8552,24.88
1776658891.8829243,4.7653,1.8688,-8.9827,0.1662,0.0257,-2.0243,24.91,4.3537,-2.3079,8.5472,0.1691,-0.014,2.0062,24.84
1776658891.9395273,4.9041,2.4335,-10.008,0.5431,0.066,-1.7368,24.94,4.4782,-3.7388,10.8969,0.6634,-0.1168,1.6713,24.89
1776658891.9972677,4.7761,3.3272,-7.5553,0.943,0.265,-1.6643,24.93,4.404,-3.3607,8.3844,0.9178,-0.3152,1.6583,24.86
1776658892.0488381,4.7749,3.2219,-8.4718,1.0901,0.545,-1.3657,24.93,4.5547,-4.6158,9.667,1.0424,-0.5328,1.3812,24.93
1776658892.1041706,5.1984,3.5653,-7.6211,1.439,0.6219,-1.2636,24.93,4.946,-3.0592,5.6447,1.5388,-0.6912,1.2278,24.89
1776658892.1632338,8.3821,2.1835,-8.8965,0.5663,0.2721,-0.7401,24.92,8.126,-5.3216,11.6255,0.7046,-0.469,0.7624,24.92
1776658892.2145512,8.8666,5.7356,-10.6768,0.4204,0.5854,0.416,24.88,8.9001,-7.6857,12.9763,0.4045,-0.6142,-0.5017,24.89
1776658892.2706008,12.8195,4.1001,-10.2652,0.8363,1.261,1.4386,24.93,12.3972,-8.1272,11.7272,0.8422,-1.2491,-1.4595,24.9
1776658892.3221312,10.2114,5.7057,-12.9775,0.1324,2.0798,3.9436,24.94,8.0136,-8.2684,13.6786,0.1382,-2.0482,-3.9871,24.9
1776658892.3768022,8.6285,1.2766,-9.338,0.2599,2.1153,4.383,24.91,6.3841,-4.6744,11.2475,0.2712,-2.1165,-4.4509,24.85
1776658892.431969,6.3685,2.2804,-8.2421,0.0371,3.432,5.0036,24.9,0.0526,-1.9717,7.2024,0.0046,-3.3343,-5.0036,24.87
1776658892.4889894,4.6744,-1.8963,-2.0746,-1.2596,2.925,5.0036,24.9,1.4237,0.2931,9.4875,-1.062,-2.6563,-5.0036,24.84
1776658892.5474787,4.7665,2.5304,-13.054,-0.9807,4.694,5.0036,24.89,-1.5625,-0.9583,7.5984,-0.9888,-4.8721,-5.0036,24.79
1776658892.5960655,5.5143,1.0038,-8.0004,-0.9123,3.0875,5.0036,24.88,-0.7777,-2.9121,13.0648,-0.7957,-3.248,-5.0036,24.84
1776658892.6515958,7.1904,4.4877,-10.9412,-0.3192,2.9596,5.0036,24.85,0.0861,-6.518,9.6754,-0.5551,-2.631,-5.0036,24.8
1776658892.70789,-9.9111,13.1737,-7.7348,-0.6474,1.9554,5.0036,24.85,-17.4736,-0.7095,4.4554,-0.8801,-1.6342,-5.0036,24.74
1776658892.7642229,-11.8947,3.5043,-13.5039,-0.0287,1.7061,3.0308,24.88,-13.0887,-3.4253,16.3693,-0.1765,-1.6306,-3.049,24.75
1776658892.8178816,-10.4997,-2.4323,-3.9817,0.671,2.1209,1.5922,24.83,-11.19,4.4028,0.859,0.7172,-2.113,-1.6209,24.72
1776658892.8749897,-9.7184,-4.7414,-1.6678,-1.0418,0.9026,1.5927,24.88,-10.1958,4.0128,4.4112,-1.0455,-0.9015,-1.6058,24.76
